1;437;2;5;.400;1;2;.500;0;0;;0;3;0;0;1;1;5
1;424;5;12;.417;0;0;;4;4;1.000;2;1;1;1;2;3;14
1;438;3;6;.500;0;0;;2;2;1.000;5;3;1;1;2;5;8
1;432;2;5;.400;2;4;.500;0;0;;2;0;0;1;1;3;6
1;425;0;2;.000;0;0;;0;0;;3;1;0;0;0;2;0
1;428;4;8;.500;1;4;.250;5;7;.714;3;1;0;0;0;0;14
1;430;5;12;.417;2;4;.500;3;4;.750;6;2;2;0;1;2;15
1;429;3;5;.600;0;0;;0;0;;2;4;0;0;2;0;6
1;426;0;4;.000;0;3;.000;4;5;.800;2;1;1;0;0;3;4
1;431;3;6;.500;2;2;1.000;1;2;.500;3;1;3;0;3;1;9
1;439;1;8;.125;0;1;.000;0;0;;1;1;0;0;0;0;2
1;440;3;6;.500;1;2;.500;0;0;;0;1;1;1;0;0;7
1;434;1;1;1.000;0;0;;0;0;;1;0;0;0;0;0;2
1;344;11;13;.846;5;6;.833;0;0;;2;2;1;0;1;3;27
1;336;5;13;.385;2;6;.333;0;1;.000;8;11;2;1;3;1;12
1;335;9;17;.529;1;4;.250;5;5;1.000;9;7;2;0;4;2;24
1;337;1;4;.250;1;2;.500;0;2;.000;7;4;0;1;1;0;3
1;342;5;7;.714;0;0;;5;6;.833;4;0;1;2;0;4;15
1;333;2;7;.286;0;2;.000;1;2;.500;4;2;0;1;0;1;5
1;340;3;5;.600;0;0;;0;0;;6;3;0;1;2;2;6
1;339;4;6;.667;0;0;;3;4;.750;4;2;0;0;1;1;11
1;345;2;3;.667;0;0;;0;0;;3;1;0;0;1;2;4
1;346;1;3;.333;1;2;.500;0;0;;0;0;0;0;0;1;3
1;330;1;3;.333;0;0;;1;2;.500;2;0;0;0;0;0;3
1;338;0;0;;0;0;;0;0;;2;0;0;0;2;1;0
2;105;4;13;.308;3;4;.750;4;5;.800;5;4;0;0;4;5;15
2;114;1;7;.143;0;4;.000;2;2;1.000;4;4;2;0;1;3;4
2;108;5;9;.556;2;2;1.000;1;2;.500;3;4;0;0;2;1;13
2;109;2;6;.333;1;3;.333;4;4;1.000;3;0;1;0;1;2;9
2;119;1;4;.250;0;0;;0;0;;5;1;0;2;2;1;2
2;121;4;8;.500;0;2;.000;1;3;.333;7;5;1;1;2;2;9
2;113;9;13;.692;4;5;.800;4;7;.571;7;2;0;1;2;5;26
2;103;2;3;.667;0;0;;2;4;.500;1;0;0;1;1;1;6
2;82;4;7;.571;0;0;;3;4;.750;4;4;0;0;1;3;11
2;106;2;5;.400;2;5;.400;0;0;;2;1;0;1;0;2;6
2;111;1;2;.500;0;1;.000;0;0;;0;0;0;0;0;0;2
2;104;0;0;;0;0;;0;0;;0;0;0;0;0;0;0
2;59;5;13;.385;0;0;;7;10;.700;9;14;2;0;5;4;17
2;58;8;15;.533;4;6;.667;0;0;;6;3;0;0;1;2;20
2;57;8;13;.615;4;6;.667;8;8;1.000;2;1;1;0;2;0;28
2;43;3;8;.375;2;4;.500;1;2;.500;7;4;0;3;0;5;9
